Employee_ID,JOB_ROLE,DAILY_STRESS,WORK_TRAVELS,TEAM_SIZE,DAYS_ABSENT,WEEKLY_EXTRA_HOURS,ACHIEVED_BIG_PROJECTS,EXTRA_HOLIDAYS,BMI_RANGE,TODO_COMPLETED,DAILY_STEPS_IN_THOUSAND,SLEEP_HOURS,LOST_VACATION,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_HOBBY,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
13943,Business Analyst,2,2,5,0,5,2,0,1,6,5,7,5,1,4,0,36 to 50,Female,609.5
14965,Bank Teller,3,4,3,8,10,5,2,2,5,5,8,2,2,3,2,36 to 50,Female,655.6
11561,Loan Processor,3,3,4,4,10,3,2,2,2,4,8,10,2,4,8,36 to 50,Female,631.6
6481,Business Analyst,3,10,3,10,7,2,5,2,3,5,5,7,1,5,2,51 or more,Female,622.7
3259,Investment Banker,1,3,3,10,4,2,4,2,5,5,7,0,2,8,1,51 or more,Female,663.9
2431,Finance Analyst,2,3,9,10,10,2,3,1,6,7,8,0,2,10,8,51 or more,Female,722.3
15668,Investment Banker,2,10,6,10,10,3,5,2,8,7,7,10,2,10,8,51 or more,Male,727.2
5764,Risk Analyst,4,5,3,5,7,4,0,1,8,8,6,0,2,8,2,21 to 35,Female,676.2
1722,Finance Analyst,3,6,4,3,3,5,4,1,10,1,10,0,2,10,3,21 to 35,Female,702.8
280,Credit Analyst,4,2,6,10,10,0,4,2,3,3,6,0,1,3,8,51 or more,Female,634.4
10220,Finance Analyst,4,7,7,1,1,3,0,2,2,7,8,7,2,3,0,36 to 50,Female,610.1
4771,Bank Teller,4,3,8,0,2,1,0,1,2,8,7,7,2,4,1,21 to 35,Male,618.6
9528,Bank Teller,2,10,5,2,8,3,4,2,7,6,8,0,2,5,2,21 to 35,Male,686.4
15340,Customer Service,3,0,3,6,6,6,3,1,8,7,6,0,2,5,6,36 to 50,Female,689.6
5666,Investment Banker,3,2,3,7,5,3,2,1,8,2,8,3,1,4,5,21 to 35,Female,639.7
11470,Investment Banker,3,5,4,10,10,2,5,1,7,8,6,1,2,8,3,51 or more,Female,720.4
7907,Risk Analyst,2,10,4,6,10,4,0,1,8,1,8,1,2,3,3,21 to 35,Male,673.5
12014,Loan Processor,2,10,10,5,10,0,1,1,7,10,8,0,2,4,8,21 to 35,Male,707.6
12724,Bank Teller,3,10,7,10,5,6,5,1,6,8,9,0,2,5,4,36 to 50,Female,727.8
8810,Bank Teller,1,6,10,10,6,3,5,2,8,1,8,0,2,5,1,36 to 50,Male,687.1
11420,Human Resources,4,3,8,6,5,1,2,1,8,4,4,0,2,3,2,21 to 35,Male,652.9
9364,Investment Banker,5,5,4,5,3,2,5,2,10,3,7,5,2,10,10,21 to 35,Female,668.6
2723,Business Analyst,2,8,6,10,10,6,4,2,4,3,7,1,2,10,6,36 to 50,Male,709.4
10690,Loan Processor,2,6,10,10,10,10,5,1,10,7,7,0,2,10,5,36 to 50,Male,752.7
10054,Human Resources,4,6,10,5,5,6,4,2,6,7,6,0,2,1,3,36 to 50,Female,677.7
9652,Investment Banker,5,1,3,6,5,3,5,1,2,8,7,0,2,5,1,21 to 35,Male,633.9
11293,Investment Banker,4,1,2,5,3,1,5,1,1,8,7,0,2,2,1,21 to 35,Male,628.8
2224,Credit Analyst,4,10,3,10,7,8,3,1,6,5,7,0,2,10,2,21 to 35,Female,692.8
14475,Finance Analyst,4,6,4,7,10,3,3,1,4,10,6,0,1,7,2,36 to 50,Female,673.2
11331,Credit Analyst,2,10,3,1,2,3,3,1,7,4,7,0,2,10,1,Less than 20,Female,673.9
12672,Bank Teller,3,10,3,7,5,3,2,1,7,10,7,0,1,10,5,21 to 35,Male,712.5
